variantName etaOrPhi etaRange zRange m b0
zAndEnergyDep phi originalEta z00to02 -0.0064915 0.182509
zAndEnergyDep phi originalEta z02to04 -0.00758771 0.183297
zAndEnergyDep phi originalEta z04to06 -0.00701411 0.183299
zAndEnergyDep phi originalEta z06to08 -0.00546637 0.179609
zAndEnergyDep phi originalEta z08to10 -0.00568521 0.180117
zAndEnergyDep eta originalEta z00to02 -0.00220873 0.188618
zAndEnergyDep eta originalEta z02to04 -0.00262202 0.187935
zAndEnergyDep eta originalEta z04to06 -0.0013051 0.186958
zAndEnergyDep eta originalEta z06to08 -0.00264049 0.189856
zAndEnergyDep eta originalEta z08to10 -0.00393116 0.190945
zAndEtaAndEnergyDep phi fullEta z00to10 -0.00692565 0.183061
zAndEtaAndEnergyDep phi fullEta z10to20 -0.00706226 0.183551
zAndEtaAndEnergyDep phi fullEta z20to30 -0.00693799 0.182064
zAndEtaAndEnergyDep phi fullEta z30to45 -0.00703206 0.180936
zAndEtaAndEnergyDep phi fullEta z45to60 -0.00746783 0.178792
zAndEtaAndEnergyDep eta fullEta z00to10 -0.00365467 0.191789
zAndEtaAndEnergyDep eta fullEta z10to20 -0.00316025 0.193974
zAndEtaAndEnergyDep eta fullEta z20to30 -0.00737118 0.20925
zAndEtaAndEnergyDep eta fullEta z30to45 -0.0132477 0.23713
zAndEtaAndEnergyDep eta fullEta z45to60 -0.0172531 0.33109
zAndEtaAndEnergyDep phi etaCore z00to10 -0.00672689 0.187235
zAndEtaAndEnergyDep phi etaCore z10to20 -0.00637083 0.187014
zAndEtaAndEnergyDep phi etaCore z20to30 -0.00579088 0.18442
zAndEtaAndEnergyDep phi etaCore z30to45 -0.00725792 0.184028
zAndEtaAndEnergyDep phi etaCore z45to60 -0.00733208 0.178813
zAndEtaAndEnergyDep eta etaCore z00to10 -0.00590388 0.177571
zAndEtaAndEnergyDep eta etaCore z10to20 -0.00690872 0.174578
zAndEtaAndEnergyDep eta etaCore z20to30 -0.00668974 0.178988
zAndEtaAndEnergyDep eta etaCore z30to45 -0.00438548 0.204879
zAndEtaAndEnergyDep eta etaCore z45to60 0.093493 0.34063
zAndEnergyDep phi originalEta z00to10 -0.00647773 0.18183
zAndEnergyDep phi originalEta z10to20 -0.00671612 0.182641
zAndEnergyDep phi originalEta z20to30 -0.00622101 0.180654
zAndEnergyDep phi originalEta z30to45 -0.00640404 0.179717
zAndEnergyDep phi originalEta z45to60 -0.00664905 0.177573
zAndEnergyDep eta originalEta z00to10 -0.00256471 0.188917
zAndEnergyDep eta originalEta z10to20 -0.00211021 0.192539
zAndEnergyDep eta originalEta z20to30 -0.00568564 0.208199
zAndEnergyDep eta originalEta z30to45 -0.00932677 0.23491
zAndEnergyDep eta originalEta z45to60 -0.00147193 0.319688
zAndEnergyDep phi originalEta z00to02 -0.0064915 0.182509
zAndEnergyDep phi originalEta z02to04 -0.00758771 0.183297
zAndEnergyDep phi originalEta z04to06 -0.00701411 0.183299
zAndEnergyDep phi originalEta z06to08 -0.00546637 0.179609
zAndEnergyDep phi originalEta z08to10 -0.00568521 0.180117
zAndEnergyDep eta originalEta z00to02 -0.00220873 0.188618
zAndEnergyDep eta originalEta z02to04 -0.00262202 0.187935
zAndEnergyDep eta originalEta z04to06 -0.0013051 0.186958
zAndEnergyDep eta originalEta z06to08 -0.00264049 0.189856
zAndEnergyDep eta originalEta z08to10 -0.00393116 0.190945
zAndEtaAndEnergyDep phi fullEta z00to10 -0.00692565 0.183061
zAndEtaAndEnergyDep phi fullEta z10to20 -0.00706226 0.183551
zAndEtaAndEnergyDep phi fullEta z20to30 -0.00693799 0.182064
zAndEtaAndEnergyDep phi fullEta z30to45 -0.00703206 0.180936
zAndEtaAndEnergyDep phi fullEta z45to60 -0.00746783 0.178792
zAndEtaAndEnergyDep eta fullEta z00to10 -0.00365467 0.191789
zAndEtaAndEnergyDep eta fullEta z10to20 -0.00316025 0.193974
zAndEtaAndEnergyDep eta fullEta z20to30 -0.00737118 0.20925
zAndEtaAndEnergyDep eta fullEta z30to45 -0.0132477 0.23713
zAndEtaAndEnergyDep eta fullEta z45to60 -0.0172531 0.33109
zAndEtaAndEnergyDep phi etaCore z00to10 -0.00672689 0.187235
zAndEtaAndEnergyDep phi etaCore z10to20 -0.00637083 0.187014
zAndEtaAndEnergyDep phi etaCore z20to30 -0.00579088 0.18442
zAndEtaAndEnergyDep phi etaCore z30to45 -0.00725792 0.184028
zAndEtaAndEnergyDep phi etaCore z45to60 -0.00733208 0.178813
zAndEtaAndEnergyDep eta etaCore z00to10 -0.00590388 0.177571
zAndEtaAndEnergyDep eta etaCore z10to20 -0.00690872 0.174578
zAndEtaAndEnergyDep eta etaCore z20to30 -0.00668974 0.178988
zAndEtaAndEnergyDep eta etaCore z30to45 -0.00438548 0.204879
zAndEtaAndEnergyDep eta etaCore z45to60 0.093493 0.34063
zAndEtaAndEnergyDep phi etaMid z00to10 -0.0069299 0.183259
zAndEtaAndEnergyDep phi etaMid z10to20 -0.00769372 0.184528
zAndEtaAndEnergyDep phi etaMid z20to30 -0.00720388 0.181678
zAndEtaAndEnergyDep phi etaMid z30to45 -0.00731593 0.179736
zAndEtaAndEnergyDep phi etaMid z45to60 -0.0079751 0.178464
zAndEtaAndEnergyDep eta etaMid z00to10 -0.0049467 0.195309
zAndEtaAndEnergyDep eta etaMid z10to20 -0.0034997 0.203941
zAndEtaAndEnergyDep eta etaMid z20to30 -0.00706171 0.221161
zAndEtaAndEnergyDep eta etaMid z30to45 -0.0177579 0.243878
zAndEtaAndEnergyDep eta etaMid z45to60 -0.0291837 0.286786
zAndEtaAndEnergyDep phi etaEdge z00to10 -0.00722933 0.180293
zAndEtaAndEnergyDep phi etaEdge z10to20 -0.00684746 0.179963
zAndEtaAndEnergyDep phi etaEdge z20to30 -0.00758367 0.180949
zAndEtaAndEnergyDep phi etaEdge z30to45 -0.00630466 0.180374
zAndEtaAndEnergyDep phi etaEdge z45to60 -0.00482986 0.179166
zAndEtaAndEnergyDep eta etaEdge z00to10 0.00202286 0.197487
zAndEtaAndEnergyDep eta etaEdge z10to20 0.00418907 0.195061
zAndEtaAndEnergyDep eta etaEdge z20to30 -0.00543859 0.223883
zAndEtaAndEnergyDep eta etaEdge z30to45 -0.0122982 0.273
zAndEtaAndEnergyDep eta etaEdge z45to60 -0.116341 0.581864
zAndEtaAndEnergyDep phi originalEta z00to10 -0.00647773 0.18183
zAndEtaAndEnergyDep phi originalEta z10to20 -0.00671612 0.182641
zAndEtaAndEnergyDep phi originalEta z20to30 -0.00622101 0.180654
zAndEtaAndEnergyDep phi originalEta z30to45 -0.00640404 0.179717
zAndEtaAndEnergyDep phi originalEta z45to60 -0.00664905 0.177573
zAndEtaAndEnergyDep eta originalEta z00to10 -0.00256471 0.188917
zAndEtaAndEnergyDep eta originalEta z10to20 -0.00211021 0.192539
zAndEtaAndEnergyDep eta originalEta z20to30 -0.00568564 0.208199
zAndEtaAndEnergyDep eta originalEta z30to45 -0.00932677 0.23491
zAndEtaAndEnergyDep eta originalEta z45to60 -0.00147193 0.319688
zAndEtaAndEnergyDep phi fullEta z00to02 -0.00720302 0.184376
zAndEtaAndEnergyDep phi fullEta z02to04 -0.00815987 0.185005
zAndEtaAndEnergyDep phi fullEta z04to06 -0.00741777 0.184304
zAndEtaAndEnergyDep phi fullEta z06to08 -0.00577599 0.180345
zAndEtaAndEnergyDep phi fullEta z08to10 -0.00592107 0.180944
zAndEtaAndEnergyDep eta fullEta z00to02 -0.00360437 0.193041
zAndEtaAndEnergyDep eta fullEta z02to04 -0.00433315 0.1927
zAndEtaAndEnergyDep eta fullEta z04to06 -0.00209851 0.189134
zAndEtaAndEnergyDep eta fullEta z06to08 -0.0031867 0.19107
zAndEtaAndEnergyDep eta fullEta z08to10 -0.0049478 0.192748
zAndEtaAndEnergyDep phi etaCore z00to02 -0.00804927 0.189723
zAndEtaAndEnergyDep phi etaCore z02to04 -0.00701701 0.189589
zAndEtaAndEnergyDep phi etaCore z04to06 -0.00692403 0.187175
zAndEtaAndEnergyDep phi etaCore z06to08 -0.00635406 0.184453
zAndEtaAndEnergyDep phi etaCore z08to10 -0.00486712 0.184213
zAndEtaAndEnergyDep eta etaCore z00to02 -0.00757315 0.181864
zAndEtaAndEnergyDep eta etaCore z02to04 -0.00394181 0.176703
zAndEtaAndEnergyDep eta etaCore z04to06 -0.0058631 0.178042
zAndEtaAndEnergyDep eta etaCore z06to08 -0.00605864 0.178082
zAndEtaAndEnergyDep eta etaCore z08to10 -0.00604935 0.173144
zAndEnergyDep phi originalEta z00to10 -0.00647773 0.18183
zAndEnergyDep phi originalEta z10to20 -0.00671612 0.182641
zAndEnergyDep phi originalEta z20to30 -0.00622101 0.180654
zAndEnergyDep phi originalEta z30to45 -0.00640404 0.179717
zAndEnergyDep phi originalEta z45to60 -0.00664905 0.177573
zAndEnergyDep eta originalEta z00to10 -0.00256471 0.188917
zAndEnergyDep eta originalEta z10to20 -0.00211021 0.192539
zAndEnergyDep eta originalEta z20to30 -0.00568564 0.208199
zAndEnergyDep eta originalEta z30to45 -0.00932677 0.23491
zAndEnergyDep eta originalEta z45to60 -0.00147193 0.319688
zAndEnergyDep phi originalEta z00to02 -0.0064915 0.182509
zAndEnergyDep phi originalEta z02to04 -0.00758771 0.183297
zAndEnergyDep phi originalEta z04to06 -0.00701411 0.183299
zAndEnergyDep phi originalEta z06to08 -0.00546637 0.179609
zAndEnergyDep phi originalEta z08to10 -0.00568521 0.180117
zAndEnergyDep eta originalEta z00to02 -0.00220873 0.188618
zAndEnergyDep eta originalEta z02to04 -0.00262202 0.187935
zAndEnergyDep eta originalEta z04to06 -0.0013051 0.186958
zAndEnergyDep eta originalEta z06to08 -0.00264049 0.189856
zAndEnergyDep eta originalEta z08to10 -0.00393116 0.190945
zAndEtaAndEnergyDep phi fullEta z00to10 -0.00692565 0.183061
zAndEtaAndEnergyDep phi fullEta z10to20 -0.00706226 0.183551
zAndEtaAndEnergyDep phi fullEta z20to30 -0.00693799 0.182064
zAndEtaAndEnergyDep phi fullEta z30to45 -0.00703206 0.180936
zAndEtaAndEnergyDep phi fullEta z45to60 -0.00746783 0.178792
zAndEtaAndEnergyDep eta fullEta z00to10 -0.00365467 0.191789
zAndEtaAndEnergyDep eta fullEta z10to20 -0.00316025 0.193974
zAndEtaAndEnergyDep eta fullEta z20to30 -0.00737118 0.20925
zAndEtaAndEnergyDep eta fullEta z30to45 -0.0132477 0.23713
zAndEtaAndEnergyDep eta fullEta z45to60 -0.0172531 0.33109
zAndEtaAndEnergyDep phi etaCore z00to10 -0.00672689 0.187235
zAndEtaAndEnergyDep phi etaCore z10to20 -0.00637083 0.187014
zAndEtaAndEnergyDep phi etaCore z20to30 -0.00579088 0.18442
zAndEtaAndEnergyDep phi etaCore z30to45 -0.00725792 0.184028
zAndEtaAndEnergyDep phi etaCore z45to60 -0.00733208 0.178813
zAndEtaAndEnergyDep eta etaCore z00to10 -0.00590388 0.177571
zAndEtaAndEnergyDep eta etaCore z10to20 -0.00690872 0.174578
zAndEtaAndEnergyDep eta etaCore z20to30 -0.00668974 0.178988
zAndEtaAndEnergyDep eta etaCore z30to45 -0.00438548 0.204879
zAndEtaAndEnergyDep eta etaCore z45to60 0.093493 0.34063
zAndEtaAndEnergyDep phi etaMid z00to10 -0.0069299 0.183259
zAndEtaAndEnergyDep phi etaMid z10to20 -0.00769372 0.184528
zAndEtaAndEnergyDep phi etaMid z20to30 -0.00720388 0.181678
zAndEtaAndEnergyDep phi etaMid z30to45 -0.00731593 0.179736
zAndEtaAndEnergyDep phi etaMid z45to60 -0.0079751 0.178464
zAndEtaAndEnergyDep eta etaMid z00to10 -0.0049467 0.195309
zAndEtaAndEnergyDep eta etaMid z10to20 -0.0034997 0.203941
zAndEtaAndEnergyDep eta etaMid z20to30 -0.00706171 0.221161
zAndEtaAndEnergyDep eta etaMid z30to45 -0.0177579 0.243878
zAndEtaAndEnergyDep eta etaMid z45to60 -0.0291837 0.286786
zAndEtaAndEnergyDep phi etaEdge z00to10 -0.00722933 0.180293
zAndEtaAndEnergyDep phi etaEdge z10to20 -0.00684746 0.179963
zAndEtaAndEnergyDep phi etaEdge z20to30 -0.00758367 0.180949
zAndEtaAndEnergyDep phi etaEdge z30to45 -0.00630466 0.180374
zAndEtaAndEnergyDep phi etaEdge z45to60 -0.00482986 0.179166
zAndEtaAndEnergyDep eta etaEdge z00to10 0.00202286 0.197487
zAndEtaAndEnergyDep eta etaEdge z10to20 0.00418907 0.195061
zAndEtaAndEnergyDep eta etaEdge z20to30 -0.00543859 0.223883
zAndEtaAndEnergyDep eta etaEdge z30to45 -0.0122982 0.273
zAndEtaAndEnergyDep eta etaEdge z45to60 -0.116341 0.581864
zAndEtaAndEnergyDep phi originalEta z00to10 -0.00647773 0.18183
zAndEtaAndEnergyDep phi originalEta z10to20 -0.00671612 0.182641
zAndEtaAndEnergyDep phi originalEta z20to30 -0.00622101 0.180654
zAndEtaAndEnergyDep phi originalEta z30to45 -0.00640404 0.179717
zAndEtaAndEnergyDep phi originalEta z45to60 -0.00664905 0.177573
zAndEtaAndEnergyDep eta originalEta z00to10 -0.00256471 0.188917
zAndEtaAndEnergyDep eta originalEta z10to20 -0.00211021 0.192539
zAndEtaAndEnergyDep eta originalEta z20to30 -0.00568564 0.208199
zAndEtaAndEnergyDep eta originalEta z30to45 -0.00932677 0.23491
zAndEtaAndEnergyDep eta originalEta z45to60 -0.00147193 0.319688
zAndEtaAndEnergyDep phi fullEta z00to02 -0.00720302 0.184376
zAndEtaAndEnergyDep phi fullEta z02to04 -0.00815987 0.185005
zAndEtaAndEnergyDep phi fullEta z04to06 -0.00741777 0.184304
zAndEtaAndEnergyDep phi fullEta z06to08 -0.00577599 0.180345
zAndEtaAndEnergyDep phi fullEta z08to10 -0.00592107 0.180944
zAndEtaAndEnergyDep eta fullEta z00to02 -0.00360437 0.193041
zAndEtaAndEnergyDep eta fullEta z02to04 -0.00433315 0.1927
zAndEtaAndEnergyDep eta fullEta z04to06 -0.00209851 0.189134
zAndEtaAndEnergyDep eta fullEta z06to08 -0.0031867 0.19107
zAndEtaAndEnergyDep eta fullEta z08to10 -0.0049478 0.192748
zAndEtaAndEnergyDep phi etaCore z00to02 -0.00804927 0.189723
zAndEtaAndEnergyDep phi etaCore z02to04 -0.00701701 0.189589
zAndEtaAndEnergyDep phi etaCore z04to06 -0.00692403 0.187175
zAndEtaAndEnergyDep phi etaCore z06to08 -0.00635406 0.184453
zAndEtaAndEnergyDep phi etaCore z08to10 -0.00486712 0.184213
zAndEtaAndEnergyDep eta etaCore z00to02 -0.00757315 0.181864
zAndEtaAndEnergyDep eta etaCore z02to04 -0.00394181 0.176703
zAndEtaAndEnergyDep eta etaCore z04to06 -0.0058631 0.178042
zAndEtaAndEnergyDep eta etaCore z06to08 -0.00605864 0.178082
zAndEtaAndEnergyDep eta etaCore z08to10 -0.00604935 0.173144
zAndEtaAndEnergyDep phi etaMid z00to02 -0.00647093 0.18332
zAndEtaAndEnergyDep phi etaMid z02to04 -0.00842851 0.184891
zAndEtaAndEnergyDep phi etaMid z04to06 -0.00681447 0.184181
zAndEtaAndEnergyDep phi etaMid z06to08 -0.00577928 0.181
zAndEtaAndEnergyDep phi etaMid z08to10 -0.00664813 0.181867
zAndEtaAndEnergyDep eta etaMid z00to02 -0.00351961 0.19267
zAndEtaAndEnergyDep eta etaMid z02to04 -0.00632996 0.19403
zAndEtaAndEnergyDep eta etaMid z04to06 -0.00279805 0.192033
zAndEtaAndEnergyDep eta etaMid z06to08 -0.00495364 0.196058
zAndEtaAndEnergyDep eta etaMid z08to10 -0.00686254 0.201141
zAndEtaAndEnergyDep phi etaEdge z00to02 -0.00749394 0.181863
zAndEtaAndEnergyDep phi etaEdge z02to04 -0.00849963 0.18199
zAndEtaAndEnergyDep phi etaEdge z04to06 -0.00856391 0.182291
zAndEtaAndEnergyDep phi etaEdge z06to08 -0.00551167 0.176774
zAndEtaAndEnergyDep phi etaEdge z08to10 -0.00560624 0.177526
zAndEtaAndEnergyDep eta etaEdge z00to02 0.00175813 0.201712
zAndEtaAndEnergyDep eta etaEdge z02to04 0.000424891 0.203362
zAndEtaAndEnergyDep eta etaEdge z04to06 0.00405144 0.192577
zAndEtaAndEnergyDep eta etaEdge z06to08 0.00358718 0.193253
zAndEtaAndEnergyDep eta etaEdge z08to10 3.1008e-05 0.196905
zAndEtaAndEnergyDep phi originalEta z00to02 -0.0064915 0.182509
zAndEtaAndEnergyDep phi originalEta z02to04 -0.00758771 0.183297
zAndEtaAndEnergyDep phi originalEta z04to06 -0.00701411 0.183299
zAndEtaAndEnergyDep phi originalEta z06to08 -0.00546637 0.179609
zAndEtaAndEnergyDep phi originalEta z08to10 -0.00568521 0.180117
zAndEtaAndEnergyDep eta originalEta z00to02 -0.00220873 0.188618
zAndEtaAndEnergyDep eta originalEta z02to04 -0.00262202 0.187935
zAndEtaAndEnergyDep eta originalEta z04to06 -0.0013051 0.186958
zAndEtaAndEnergyDep eta originalEta z06to08 -0.00264049 0.189856
zAndEtaAndEnergyDep eta originalEta z08to10 -0.00393116 0.190945
etaAndEnergyDep phi etaCore originalZRange -0.00672689 0.187235
etaAndEnergyDep phi etaEdge originalZRange -0.00722933 0.180293
etaAndEnergyDep phi etaMid originalZRange -0.0069299 0.183259
etaAndEnergyDep phi fullEta originalZRange -0.00692565 0.183061
energyDepOnly phi originalEta originalZRange -0.00647773 0.18183
etaAndEnergyDep eta etaCore originalZRange -0.00590388 0.177571
etaAndEnergyDep eta etaEdge originalZRange 0.00202286 0.197487
etaAndEnergyDep eta etaMid originalZRange -0.0049467 0.195309
etaAndEnergyDep eta fullEta originalZRange -0.00365467 0.191789
energyDepOnly eta originalEta originalZRange -0.00256471 0.188917
zAndEnergyDep phi originalEta z00to10 -0.00647773 0.18183
zAndEnergyDep phi originalEta z10to20 -0.00671612 0.182641
zAndEnergyDep phi originalEta z20to30 -0.00622101 0.180654
zAndEnergyDep phi originalEta z30to45 -0.00640404 0.179717
zAndEnergyDep phi originalEta z45to60 -0.00664905 0.177573
zAndEnergyDep eta originalEta z00to10 -0.00256471 0.188917
zAndEnergyDep eta originalEta z10to20 -0.00211021 0.192539
zAndEnergyDep eta originalEta z20to30 -0.00568564 0.208199
zAndEnergyDep eta originalEta z30to45 -0.00932677 0.23491
zAndEnergyDep eta originalEta z45to60 -0.00147193 0.319688
zAndEnergyDep phi originalEta z00to02 -0.0064915 0.182509
zAndEnergyDep phi originalEta z02to04 -0.00758771 0.183297
zAndEnergyDep phi originalEta z04to06 -0.00701411 0.183299
zAndEnergyDep phi originalEta z06to08 -0.00546637 0.179609
zAndEnergyDep phi originalEta z08to10 -0.00568521 0.180117
zAndEnergyDep eta originalEta z00to02 -0.00220873 0.188618
zAndEnergyDep eta originalEta z02to04 -0.00262202 0.187935
zAndEnergyDep eta originalEta z04to06 -0.0013051 0.186958
zAndEnergyDep eta originalEta z06to08 -0.00264049 0.189856
zAndEnergyDep eta originalEta z08to10 -0.00393116 0.190945
zAndEtaAndEnergyDep phi fullEta z00to10 -0.00692565 0.183061
zAndEtaAndEnergyDep phi fullEta z10to20 -0.00706226 0.183551
zAndEtaAndEnergyDep phi fullEta z20to30 -0.00693799 0.182064
zAndEtaAndEnergyDep phi fullEta z30to45 -0.00703206 0.180936
zAndEtaAndEnergyDep phi fullEta z45to60 -0.00746783 0.178792
zAndEtaAndEnergyDep eta fullEta z00to10 -0.00365467 0.191789
zAndEtaAndEnergyDep eta fullEta z10to20 -0.00316025 0.193974
zAndEtaAndEnergyDep eta fullEta z20to30 -0.00737118 0.20925
zAndEtaAndEnergyDep eta fullEta z30to45 -0.0132477 0.23713
zAndEtaAndEnergyDep eta fullEta z45to60 -0.0172531 0.33109
zAndEtaAndEnergyDep phi etaCore z00to10 -0.00672689 0.187235
zAndEtaAndEnergyDep phi etaCore z10to20 -0.00637083 0.187014
zAndEtaAndEnergyDep phi etaCore z20to30 -0.00579088 0.18442
zAndEtaAndEnergyDep phi etaCore z30to45 -0.00725792 0.184028
zAndEtaAndEnergyDep phi etaCore z45to60 -0.00733208 0.178813
zAndEtaAndEnergyDep eta etaCore z00to10 -0.00590388 0.177571
zAndEtaAndEnergyDep eta etaCore z10to20 -0.00690872 0.174578
zAndEtaAndEnergyDep eta etaCore z20to30 -0.00668974 0.178988
zAndEtaAndEnergyDep eta etaCore z30to45 -0.00438548 0.204879
zAndEtaAndEnergyDep eta etaCore z45to60 0.093493 0.34063
zAndEtaAndEnergyDep phi etaMid z00to10 -0.0069299 0.183259
zAndEtaAndEnergyDep phi etaMid z10to20 -0.00769372 0.184528
zAndEtaAndEnergyDep phi etaMid z20to30 -0.00720388 0.181678
zAndEtaAndEnergyDep phi etaMid z30to45 -0.00731593 0.179736
zAndEtaAndEnergyDep phi etaMid z45to60 -0.0079751 0.178464
zAndEtaAndEnergyDep eta etaMid z00to10 -0.0049467 0.195309
zAndEtaAndEnergyDep eta etaMid z10to20 -0.0034997 0.203941
zAndEtaAndEnergyDep eta etaMid z20to30 -0.00706171 0.221161
zAndEtaAndEnergyDep eta etaMid z30to45 -0.0177579 0.243878
zAndEtaAndEnergyDep eta etaMid z45to60 -0.0291837 0.286786
zAndEtaAndEnergyDep phi etaEdge z00to10 -0.00722933 0.180293
zAndEtaAndEnergyDep phi etaEdge z10to20 -0.00684746 0.179963
zAndEtaAndEnergyDep phi etaEdge z20to30 -0.00758367 0.180949
zAndEtaAndEnergyDep phi etaEdge z30to45 -0.00630466 0.180374
zAndEtaAndEnergyDep phi etaEdge z45to60 -0.00482986 0.179166
zAndEtaAndEnergyDep eta etaEdge z00to10 0.00202286 0.197487
zAndEtaAndEnergyDep eta etaEdge z10to20 0.00418907 0.195061
zAndEtaAndEnergyDep eta etaEdge z20to30 -0.00543859 0.223883
zAndEtaAndEnergyDep eta etaEdge z30to45 -0.0122982 0.273
zAndEtaAndEnergyDep eta etaEdge z45to60 -0.116341 0.581864
zAndEtaAndEnergyDep phi originalEta z00to10 -0.00647773 0.18183
zAndEtaAndEnergyDep phi originalEta z10to20 -0.00671612 0.182641
zAndEtaAndEnergyDep phi originalEta z20to30 -0.00622101 0.180654
zAndEtaAndEnergyDep phi originalEta z30to45 -0.00640404 0.179717
zAndEtaAndEnergyDep phi originalEta z45to60 -0.00664905 0.177573
zAndEtaAndEnergyDep eta originalEta z00to10 -0.00256471 0.188917
zAndEtaAndEnergyDep eta originalEta z10to20 -0.00211021 0.192539
zAndEtaAndEnergyDep eta originalEta z20to30 -0.00568564 0.208199
zAndEtaAndEnergyDep eta originalEta z30to45 -0.00932677 0.23491
zAndEtaAndEnergyDep eta originalEta z45to60 -0.00147193 0.319688
zAndEtaAndEnergyDep phi fullEta z00to02 -0.00720302 0.184376
zAndEtaAndEnergyDep phi fullEta z02to04 -0.00815987 0.185005
zAndEtaAndEnergyDep phi fullEta z04to06 -0.00741777 0.184304
zAndEtaAndEnergyDep phi fullEta z06to08 -0.00577599 0.180345
zAndEtaAndEnergyDep phi fullEta z08to10 -0.00592107 0.180944
zAndEtaAndEnergyDep eta fullEta z00to02 -0.00360437 0.193041
zAndEtaAndEnergyDep eta fullEta z02to04 -0.00433315 0.1927
zAndEtaAndEnergyDep eta fullEta z04to06 -0.00209851 0.189134
zAndEtaAndEnergyDep eta fullEta z06to08 -0.0031867 0.19107
zAndEtaAndEnergyDep eta fullEta z08to10 -0.0049478 0.192748
zAndEtaAndEnergyDep phi etaCore z00to02 -0.00804927 0.189723
zAndEtaAndEnergyDep phi etaCore z02to04 -0.00701701 0.189589
zAndEtaAndEnergyDep phi etaCore z04to06 -0.00692403 0.187175
zAndEtaAndEnergyDep phi etaCore z06to08 -0.00635406 0.184453
zAndEtaAndEnergyDep phi etaCore z08to10 -0.00486712 0.184213
zAndEtaAndEnergyDep eta etaCore z00to02 -0.00757315 0.181864
zAndEtaAndEnergyDep eta etaCore z02to04 -0.00394181 0.176703
zAndEtaAndEnergyDep eta etaCore z04to06 -0.0058631 0.178042
zAndEtaAndEnergyDep eta etaCore z06to08 -0.00605864 0.178082
zAndEtaAndEnergyDep eta etaCore z08to10 -0.00604935 0.173144
zAndEtaAndEnergyDep phi etaMid z00to02 -0.00647093 0.18332
zAndEtaAndEnergyDep phi etaMid z02to04 -0.00842851 0.184891
zAndEtaAndEnergyDep phi etaMid z04to06 -0.00681447 0.184181
zAndEtaAndEnergyDep phi etaMid z06to08 -0.00577928 0.181
zAndEtaAndEnergyDep phi etaMid z08to10 -0.00664813 0.181867
zAndEtaAndEnergyDep eta etaMid z00to02 -0.00351961 0.19267
zAndEtaAndEnergyDep eta etaMid z02to04 -0.00632996 0.19403
zAndEtaAndEnergyDep eta etaMid z04to06 -0.00279805 0.192033
zAndEtaAndEnergyDep eta etaMid z06to08 -0.00495364 0.196058
zAndEtaAndEnergyDep eta etaMid z08to10 -0.00686254 0.201141
zAndEtaAndEnergyDep phi etaEdge z00to02 -0.00749394 0.181863
zAndEtaAndEnergyDep phi etaEdge z02to04 -0.00849963 0.18199
